,ID,Label,Names,Num,gender,race,class,other,notes,Rank
68,Melchisedech,Melchisedech,Melchisedech,1,unknown,,,,,154
150,Royal Academy,Royal Academy,Royal Academy,1,unknown,,,,,155
18,Charles Dickens,Charles Dickens,Charles Dickens,1,unknown,,,,,156
43,Halloa,Halloa,Halloa,1,unknown,,,,,157
40,Greenleaf,Greenleaf,Greenleaf,1,unknown,,,,,158
47,Inns of Court,Inns of Court,Inns of Court,1,unknown,,,,,159
36,Gammon,Gammon,Gammon,1,unknown,,,,,160
35,Francis,Francis,Francis,1,male,,,,,161
50,James,James,James,1,male,,,,,162
24,Cursitor Street,Cursitor Street,Cursitor Street,1,unknown,,,,,163
135,Newgate,Newgate,Newgate,1,unknown,,,,,164
147,Regent,Regent,Regent,1,unknown,,,,,165
137,Oswald,Oswald,Oswald,1,male,,,,,166
138,Parliament,Parliament,Parliament,1,unknown,,,,,167
45,Holborn,Holborn,Holborn,1,unknown,,,,,168
141,Penton Place,Penton Place,Penton Place,1,unknown,,,,,169
14,Bosh,Bosh,Bosh,1,unknown,,,,,170
143,Polly,Polly,Polly,1,female,,,,,171
70,Michael Jackson,Michael Jackson,Michael Jackson,1,unknown,,,,,172
25,Dame Trot,Dame Trot,Dame Trot,1,unknown,,,,,173
